office,district,candidate,party,county,votes
President/Vice President,,UNDER VOTES,,Greene,54
President/Vice President,,SCATTERING,,Greene,28
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Grundy,2790
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Grundy,3945
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Grundy,25
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Grundy,3
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Grundy,18
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Grundy,15
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Grundy,3
President/Vice President,,OVER VOTES,,Grundy,19
President/Vice President,,UNDER VOTES,,Grundy,42
President/Vice President,,SCATTERING,,Grundy,29
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Guthrie,2625
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Guthrie,3074
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Guthrie,22
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Guthrie,4
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Guthrie,42
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Guthrie,46
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Guthrie,3
President/Vice President,,OVER VOTES,,Guthrie,9
President/Vice President,,UNDER VOTES,,Guthrie,0
President/Vice President,,SCATTERING,,Guthrie,31
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Hamilton,4018
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Hamilton,3913
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Hamilton,28
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Hamilton,4
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Hamilton,27
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Hamilton,52
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Hamilton,4
President/Vice President,,OVER VOTES,,Hamilton,21
President/Vice President,,UNDER VOTES,,Hamilton,42
President/Vice President,,SCATTERING,,Hamilton,32
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Hancock,2805
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Hancock,3016
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Hancock,16
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Hancock,6
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Hancock,20
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Hancock,43
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Hancock,1
President/Vice President,,OVER VOTES,,Hancock,19
President/Vice President,,UNDER VOTES,,Hancock,34
President/Vice President,,SCATTERING,,Hancock,23
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Hardin,4393
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Hardin,4315
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Hardin,51
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Hardin,7
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Hardin,22
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Hardin,36
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Hardin,4
President/Vice President,,OVER VOTES,,Hardin,39
President/Vice President,,UNDER VOTES,,Hardin,56
President/Vice President,,SCATTERING,,Hardin,31
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Harrison,3555
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Harrison,3909
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Harrison,11
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Harrison,7
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Harrison,10
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Harrison,50
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Harrison,1
President/Vice President,,OVER VOTES,,Harrison,0
President/Vice President,,UNDER VOTES,,Harrison,54
President/Vice President,,SCATTERING,,Harrison,35
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Henry,4349
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Henry,4822
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Henry,45
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Henry,13
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Henry,20
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Henry,65
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Henry,1
President/Vice President,,OVER VOTES,,Henry,12
President/Vice President,,UNDER VOTES,,Henry,34
President/Vice President,,SCATTERING,,Henry,62
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Howard,2941
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Howard,1722
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Howard,13
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Howard,4
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Howard,9
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Howard,23
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Howard,2
President/Vice President,,OVER VOTES,,Howard,0
President/Vice President,,UNDER VOTES,,Howard,0
President/Vice President,,SCATTERING,,Howard,14
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Humboldt,2160
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Humboldt,2895
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Humboldt,13
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Humboldt,3
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Humboldt,14
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Humboldt,30
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Humboldt,2
President/Vice President,,OVER VOTES,,Humboldt,13
President/Vice President,,UNDER VOTES,,Humboldt,0
President/Vice President,,SCATTERING,,Humboldt,5
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Ida,1454
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Ida,2036
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Ida,5
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Ida,4
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Ida,12
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Ida,23
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Ida,1
President/Vice President,,OVER VOTES,,Ida,0
President/Vice President,,UNDER VOTES,,Ida,0
President/Vice President,,SCATTERING,,Ida,12
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Iowa,4202
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Iowa,4188
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Iowa,31
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Iowa,10
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Iowa,31
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Iowa,50
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Iowa,2
President/Vice President,,OVER VOTES,,Iowa,8
President/Vice President,,UNDER VOTES,,Iowa,0
President/Vice President,,SCATTERING,,Iowa,32
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Jackson,6102
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Jackson,3673
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Jackson,48
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Jackson,13
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Jackson,18
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Jackson,48
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Jackson,3
President/Vice President,,OVER VOTES,,Jackson,0
President/Vice President,,UNDER VOTES,,Jackson,0
President/Vice President,,SCATTERING,,Jackson,50
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Jasper,10250
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Jasper,8794
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Jasper,74
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Jasper,14
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Jasper,62
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Jasper,103
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Jasper,6
President/Vice President,,OVER VOTES,,Jasper,49
President/Vice President,,UNDER VOTES,,Jasper,95
President/Vice President,,SCATTERING,,Jasper,118
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Jefferson,5070
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Jefferson,3324
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Jefferson,44
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Jefferson,22
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Jefferson,32
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Jefferson,51
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Jefferson,2
President/Vice President,,OVER VOTES,,Jefferson,10
President/Vice President,,UNDER VOTES,,Jefferson,33
President/Vice President,,SCATTERING,,Jefferson,86
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Johnson,51027
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Johnson,20732
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Johnson,128
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Johnson,120
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Johnson,287
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Johnson,326
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Johnson,9
President/Vice President,,OVER VOTES,,Johnson,87
President/Vice President,,UNDER VOTES,,Johnson,155
President/Vice President,,SCATTERING,,Johnson,346
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Jones,5446
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Jones,4405
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Jones,26
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Jones,7
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Jones,30
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Jones,51
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Jones,1
President/Vice President,,OVER VOTES,,Jones,26
President/Vice President,,UNDER VOTES,,Jones,46
President/Vice President,,SCATTERING,,Jones,38
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Keokuk,2518
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Keokuk,2712
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Keokuk,32
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Keokuk,8
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Keokuk,13
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Keokuk,33
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Keokuk,7
President/Vice President,,OVER VOTES,,Keokuk,4
President/Vice President,,UNDER VOTES,,Keokuk,0
President/Vice President,,SCATTERING,,Keokuk,38
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Kossuth,4625
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Kossuth,4329
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Kossuth,25
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Kossuth,9
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Kossuth,22
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Kossuth,52
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Kossuth,0
President/Vice President,,OVER VOTES,,Kossuth,22
President/Vice President,,UNDER VOTES,,Kossuth,81
President/Vice President,,SCATTERING,,Kossuth,35
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Lee,9821
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Lee,7062
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Lee,45
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Lee,21
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Lee,67
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Lee,118
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Lee,2
President/Vice President,,OVER VOTES,,Lee,35
President/Vice President,,UNDER VOTES,,Lee,87
President/Vice President,,SCATTERING,,Lee,88
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Linn,68037
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Linn,43626
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Linn,190
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Linn,105
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Linn,379
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Linn,496
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Linn,7
President/Vice President,,OVER VOTES,,Linn,86
President/Vice President,,UNDER VOTES,,Linn,266
President/Vice President,,SCATTERING,,Linn,515
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Louisa,2523
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Louisa,2314
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Louisa,8
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Louisa,3
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Louisa,13
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Louisa,28
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Louisa,3
President/Vice President,,OVER VOTES,,Louisa,9
President/Vice President,,UNDER VOTES,,Louisa,38
President/Vice President,,SCATTERING,,Louisa,28
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Lucas,2029
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Lucas,2330
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Lucas,34
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Lucas,7
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Lucas,10
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Lucas,21
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Lucas,4
President/Vice President,,OVER VOTES,,Lucas,0
President/Vice President,,UNDER VOTES,,Lucas,0
President/Vice President,,SCATTERING,,Lucas,36
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Lyon,1675
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Lyon,4471
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Lyon,15
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Lyon,3
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Lyon,12
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Lyon,28
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Lyon,2
President/Vice President,,OVER VOTES,,Lyon,8
President/Vice President,,UNDER VOTES,,Lyon,27
President/Vice President,,SCATTERING,,Lyon,11
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Madison,3733
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Madison,4579
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Madison,49
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Madison,6
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Madison,25
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Madison,50
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Madison,2
President/Vice President,,OVER VOTES,,Madison,8
President/Vice President,,UNDER VOTES,,Madison,40
President/Vice President,,SCATTERING,,Madison,36
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Mahaska,4464
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Mahaska,6271
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Mahaska,55
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Mahaska,7
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Mahaska,26
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Mahaska,48
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Mahaska,3
President/Vice President,,OVER VOTES,,Mahaska,18
President/Vice President,,UNDER VOTES,,Mahaska,0
President/Vice President,,SCATTERING,,Mahaska,58
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Marion,7421
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Marion,9256
President/Vice President,,CHUCK BALDWIN / DARRELL L. CASTLE,Constitution Party,Marion,69
President/Vice President,,CYNTHIA MCKINNEY / ROSA CLEMENTE,Green Party,Marion,17
President/Vice President,,BOB BARR / WAYNE A. ROOT,Libertarian,Marion,62
President/Vice President,,RALPH NADER / MATT GONZALEZ,Peace and Freedom,Marion,91
President/Vice President,,JAMES HARRIS / ALYSON KENNEDY,Socialist Workers Party,Marion,4
President/Vice President,,OVER VOTES,,Marion,19
President/Vice President,,UNDER VOTES,,Marion,64
President/Vice President,,SCATTERING,,Marion,110
President/Vice President,,BARACK OBAMA / JOE BIDEN,Democrat,Marshall,10023
President/Vice President,,JOHN MCCAIN / SARAH PALIN,Republican,Marshall,8278
